
Alexandra & District Kindergarten,ALEXANDRA,3714,46,Meeting NQS,1,119
Alexandra Baby Care,ALEXANDRA,3714,29,Meeting NQS,2,164
Altona Kindergarten,ALTONA,3018,30,Exceeding NQS,3,190
Somers Parade Kindergarten,ALTONA,3018,30,Exceeding NQS,4,154
Seaholme Kindergarten,SEAHOLME,3018,30,Working Towards NQS,5,198
Altona Meadows Kindergarten,ALTONA MEADOWS,3028,30,Meeting NQS,6,149
Russell Court Kindergarten and Childrens' Centre Inc,ALTONA MEADOWS,3028,54,Meeting NQS,7,144
One Tree Altona Meadows Children's Service,ALTONA MEADOWS,3028,58,Meeting NQS,8,179
One Tree Altona North Children's Service,ALTONA NORTH,3025,113,Exceeding NQS,9,160
Natimuk Preschool,NATIMUK,3409,23,Working Towards NQS,10,111
Jack & Jill Kindergarten,ARARAT,3377,30,Meeting NQS,11,112
St Andrews Kindergarten,ARARAT,3377,30,Working Towards NQS,12,191
Willaura & District Kindergarten,WILLAURA,3379,22,Working Towards NQS,13,190
East Sale Kindergarten,SALE EAST,3852,28,Exceeding NQS,14,127
Stratford Kindergarten,STRATFORD,3862,55,Exceeding NQS,15,188
Young Street Kindergarten,BACCHUS MARSH,3340,60,Meeting NQS,16,179
Bacchus Marsh Montessori Preschool,BACCHUS MARSH,3340,58,Meeting NQS,17,147
Bacchus Marsh Child Care & Kindergarten Centre,BACCHUS MARSH,3340,50,Meeting NQS,18,122
Pentland Childcare & Kindergarten Centre,BACCHUS MARSH,3340,100,Working Towards NQS,19,113
Bairnsdale Kindergarten,BAIRNSDALE,3875,60,Working Towards NQS,20,190
Westdale Kindergarten,BAIRNSDALE,3875,26,Working Towards NQS,21,186
Bairnsdale Early Learning Centre,BAIRNSDALE,3875,60,Meeting NQS,22,135
Lindenow & District Kindergarten,LINDENOW,3865,25,Meeting NQS,23,120
Paynesville Kindergarten,PAYNESVILLE,3880,52,Exceeding NQS,24,186
Ballan & District Preschool,BALLAN,3342,59,Exceeding NQS,25,191
Bakery Hill Kindergarten,BALLARAT,3350,55,Meeting NQS,26,140
Iris Ramsay Kindergarten,BALLARAT,3350,55,Meeting NQS,27,156
Enid Rogers Jubilee Kindergarten,BALLARAT,3350,33,Exceeding NQS,28,128
St Alipius Kindergarten,BALLARAT,3350,28,Working Towards NQS,29,117
Soldiers Hill Kindergarten,BALLARAT,3350,29,Meeting NQS,30,116
Ballarat Fidelity Club Kindergarten,BALLARAT,3350,30,Exceeding NQS,31,169
Mt Pleasant Kindergarten,BALLARAT,3350,63,Exceeding NQS,32,121
Brown Hill Kindergarten,BALLARAT,3350,66,Exceeding NQS,33,134
Black Hill Kindergarten,BLACK HILL,3350,25,Working Towards NQS,34,137
York Street Kindergarten,BALLARAT,3350,26,Working Towards NQS,35,106
Ballarat Child Care Co-op,BALLARAT,3350,44,Working Towards NQS,36,192
Girrabanya Children's Centre,BALLARAT,3350,98,Working Towards NQS,37,170
Ballarat & Clarendon College Preschool,BALLARAT,3350,165,Exceeding NQS,38,112
Ballarat Little Learners Early Education Centre,BALLARAT,3350,29,Meeting NQS,39,179
Linda Brown Preschool,WENDOUREE,3355,52,Exceeding NQS,40,158
Alfredton Preschool,ALFREDTON,3350,48,Working Towards NQS,41,124
Rowan View Preschool,WENDOUREE,3355,47,Meeting NQS,42,138
Wendouree Children's Services,WENDOUREE,3355,75,Meeting NQS,43,171
Inverleigh Kindergarten,INVERLEIGH,3321,33,Exceeding NQS,44,185
Moriac Kindergarten,MORIAC,3240,29,Exceeding NQS,45,119
Anglesea Kindergarten,ANGLESEA,3230,55,Exceeding NQS,46,109
The Jan Juc Preschool,JAN JUC,3228,79,Exceeding NQS,47,120
Beechworth Community Child Care Centre,BEECHWORTH,3747,55,Meeting NQS,48,139
Beechworth Kindergarten Inc.,BEECHWORTH,3747,30,Meeting NQS,49,188
City Learning & Care - Drysdale,DRYSDALE,3222,40,Meeting NQS,50,124
Drysdale Preschool,DRYSDALE,3222,30,Meeting NQS,51,135
Leopold Kindergarten,LEOPOLD,3224,35,Exceeding NQS,52,185
Kirralee Kindergarten,NEWCOMB,3219,31,Meeting NQS,53,131
Ocean Grove & District Preschool,OCEAN GROVE,3226,68,Exceeding NQS,54,145
Portarlington Preschool Centre,PORTARLINGTON,3223,53,Meeting NQS,55,148
Allanvale Preschool,LEOPOLD,3224,71,Exceeding NQS,56,183
Woodlands Preschool,OCEAN GROVE,3226,30,Exceeding NQS,57,143
Clifton Springs Preschool,CLIFTON SPRINGS,3222,33,Exceeding NQS,58,103
Beacon Point Preschool,CLIFTON SPRINGS,3222,34,Exceeding NQS,59,162
Whittington Child and Family Centre,WHITTINGTON,3219,90,Exceeding NQS,60,157
Leopold World of Learning,LEOPOLD,3224,46,Meeting NQS,61,193
Bernard Briggs Kindergarten,BENALLA,3672,28,Exceeding NQS,62,115
Munro Avenue Preschool,BENALLA,3672,29,Exceeding NQS,63,162
Ride Avenue Preschool,BENALLA,3672,30,Meeting NQS,64,143
Bendigo Preschool,BENDIGO,3550,29,Meeting NQS,65,142
Shine Bright Neale Street North Kindergarten,BENDIGO,3550,33,Meeting NQS,66,190
North Bendigo Kindergarten,BENDIGO,3550,28,Meeting NQS,67,156
Shine Bright South Bendigo Kindergarten,BENDIGO SOUTH,3550,33,Meeting NQS,68,153
Golden Square Kindergarten,GOLDEN SQUARE,3555,45,Exceeding NQS,69,121
Shine Bright White Hills Kindergarten,WHITE HILLS,3550,30,Meeting NQS,70,196
Dr Harry Little Preschool,BENDIGO,3550,49,Exceeding NQS,71,108
Annie Galvin Early Learning Centre,BENDIGO,3550,68,Exceeding NQS,72,135
Narre Warren North Kindergarten,NARRE WARREN,3805,30,Meeting NQS,73,142
Timbarra Kindergarten,BERWICK,3806,30,Exceeding NQS,74,154
Fountain Gate Kindergarten,NARRE WARREN,3805,30,Exceeding NQS,75,165
James Cook Kindergarten,ENDEAVOUR HILLS,3802,31,Exceeding NQS,76,147
Mansfield Street Kindergarten,BERWICK,3806,30,Exceeding NQS,77,164
Chalcot Lodge Kindergarten,ENDEAVOUR HILLS,3802,30,Meeting NQS,78,135
David Collins Kindergarten,ENDEAVOUR HILLS,3802,30,Exceeding NQS,79,167
Hartley Ridge Kindergarten,ENDEAVOUR HILLS,3802,33,Exceeding NQS,80,182
Allara Kindergarten,ENDEAVOUR HILLS,3802,30,Exceeding NQS,81,120
Fleetwood Kindergarten,NARRE WARREN,3805,30,Exceeding NQS,82,116
Narre Kids Early Learning & Kinder,NARRE WARREN,3805,58,Meeting NQS,83,140
Brentwood Park Berwick Kindergarten,BERWICK,3806,30,Exceeding NQS,84,192
Maramba Kindergarten,NARRE WARREN,3805,52,Exceeding NQS,85,180
Talbingo Kindergarten,NARRE WARREN,3805,30,Exceeding NQS,86,183
Reema Kindergarten,ENDEAVOUR HILLS,3802,27,Exceeding NQS,87,190
Oatlands Kindergarten,NARRE WARREN,3805,55,Exceeding NQS,88,189
Hallam Gardens Kindergarten,HALLAM,3803,33,Exceeding NQS,89,188
Only About Children Berwick,BERWICK,3806,54,Meeting NQS,90,122
Berwick Twinkle Star Early Learning Centre,BERWICK,3806,60,Meeting NQS,91,148
Narre Warren Early Learning Centre,NARRE WARREN,3805,33,Meeting NQS,92,167
St Margaret's School Pre-prep,BERWICK,3806,89,Exceeding NQS,93,149
Haileybury Berwick College,BERWICK,3806,110,Exceeding NQS,94,121
Beaconsfield Kindergarten,BEACONSFIELD,3807,29,Exceeding NQS,95,165
Gembrook Preschool,GEMBROOK,3783,33,Meeting NQS,96,108
Nar Nar Goon Kindergarten,NAR NAR GOON,3812,32,Exceeding NQS,97,176
Pakenham Kindergarten,PAKENHAM,3810,33,Exceeding NQS,98,127
Bunyip Kindergarten,BUNYIP,3815,57,Exceeding NQS,99,143
Garfield Kindergarten,GARFIELD,3814,30,Meeting NQS,100,129
Upper Beaconsfield Kindergarten,BEACONSFIELD UPPER,3808,30,Exceeding NQS,101,152
Cockatoo Kinder,COCKATOO,3781,28,Meeting NQS,102,166
Upper Beaconsfield Community Early Learning Centre,BEACONSFIELD UPPER,3808,26,Meeting NQS,103,118
Cockatoo Community Childcare Centre,COCKATOO,3781,53,Meeting NQS,104,192
Little Saints Early Learning Centre,PAKENHAM,3810,60,Meeting NQS,105,116
Officer Child Care Centre,OFFICER,3809,120,Meeting NQS,106,100
Lang Lang Preschool,LANG LANG,3984,30,Meeting NQS,107,142
St Peter's Anglican Kindergarten,BOX HILL,3128,25,Meeting NQS,108,176
Woodhouse Grove Kindergarten,BOX HILL NORTH,3129,50,Exceeding NQS,109,179
Friend Street Kindergarten,MONT ALBERT NORTH,3129,30,Exceeding NQS,110,100
Parkside Preschool,BOX HILL NORTH,3129,25,Exceeding NQS,111,119
Box Hill South Preschool,BOX HILL SOUTH,3128,30,Meeting NQS,112,108
Box Hill North Primary Kindergarten,BOX HILL NORTH,3129,50,Meeting NQS,113,136
Wattle Hill Kindergarten,BURWOOD,3125,24,Exceeding NQS,114,180
St Scholastica's Kindergarten,BURWOOD,3125,33,Meeting NQS,115,137
St Augustine’s Anglican Kindergarten,MONT ALBERT NORTH,3129,50,Exceeding NQS,116,176
Florence Road Preschool,SURREY HILLS,3127,48,Meeting NQS,117,175
Deakin & Community Childcare Co-operative,BURWOOD,3125,60,Exceeding NQS,118,169
Surrey Hills Baptist Children's Centre,SURREY HILLS,3127,98,Exceeding NQS,119,163
Guardian Childcare & Education Box Hill,BOX HILL,3128,46,Exceeding NQS,120,158
