ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Alexandra & District Kindergarten,ALEXANDRA,3714,46,Meeting NQS
Alexandra Baby Care,ALEXANDRA,3714,29,Meeting NQS
Altona Kindergarten,ALTONA,3018,30,Exceeding NQS
Somers Parade Kindergarten,ALTONA,3018,30,Exceeding NQS
Seaholme Kindergarten,SEAHOLME,3018,30,Working Towards NQS
Altona Meadows Kindergarten,ALTONA MEADOWS,3028,30,Meeting NQS
Russell Court Kindergarten and Childrens' Centre Inc,ALTONA MEADOWS,3028,54,Meeting NQS
One Tree Altona Meadows Children's Service,ALTONA MEADOWS,3028,58,Meeting NQS
One Tree Altona North Children's Service,ALTONA NORTH,3025,113,Exceeding NQS
Natimuk Preschool,NATIMUK,3409,23,Working Towards NQS
Jack & Jill Kindergarten,ARARAT,3377,30,Meeting NQS
St Andrews Kindergarten,ARARAT,3377,30,Working Towards NQS
Willaura & District Kindergarten,WILLAURA,3379,22,Working Towards NQS
East Sale Kindergarten,SALE EAST,3852,28,Exceeding NQS
Stratford Kindergarten,STRATFORD,3862,55,Exceeding NQS
Young Street Kindergarten,BACCHUS MARSH,3340,60,Meeting NQS
Bacchus Marsh Montessori Preschool,BACCHUS MARSH,3340,58,Meeting NQS
Bacchus Marsh Child Care & Kindergarten Centre,BACCHUS MARSH,3340,50,Meeting NQS
Pentland Childcare & Kindergarten Centre,BACCHUS MARSH,3340,100,Working Towards NQS
Bairnsdale Kindergarten,BAIRNSDALE,3875,60,Working Towards NQS
Westdale Kindergarten,BAIRNSDALE,3875,26,Working Towards NQS
Bairnsdale Early Learning Centre,BAIRNSDALE,3875,60,Meeting NQS
Lindenow & District Kindergarten,LINDENOW,3865,25,Meeting NQS
Paynesville Kindergarten,PAYNESVILLE,3880,52,Exceeding NQS
Ballan & District Preschool,BALLAN,3342,59,Exceeding NQS
Bakery Hill Kindergarten,BALLARAT,3350,55,Meeting NQS
Iris Ramsay Kindergarten,BALLARAT,3350,55,Meeting NQS
Enid Rogers Jubilee Kindergarten,BALLARAT,3350,33,Exceeding NQS
St Alipius Kindergarten,BALLARAT,3350,28,Working Towards NQS
Soldiers Hill Kindergarten,BALLARAT,3350,29,Meeting NQS
Ballarat Fidelity Club Kindergarten,BALLARAT,3350,30,Exceeding NQS
Mt Pleasant Kindergarten,BALLARAT,3350,63,Exceeding NQS
Brown Hill Kindergarten,BALLARAT,3350,66,Exceeding NQS
Black Hill Kindergarten,BLACK HILL,3350,25,Working Towards NQS
York Street Kindergarten,BALLARAT,3350,26,Working Towards NQS
Ballarat Child Care Co-op,BALLARAT,3350,44,Working Towards NQS
Girrabanya Children's Centre,BALLARAT,3350,98,Working Towards NQS
Ballarat & Clarendon College Preschool,BALLARAT,3350,165,Exceeding NQS
Ballarat Little Learners Early Education Centre,BALLARAT,3350,29,Meeting NQS
Linda Brown Preschool,WENDOUREE,3355,52,Exceeding NQS
Alfredton Preschool,ALFREDTON,3350,48,Working Towards NQS
Rowan View Preschool,WENDOUREE,3355,47,Meeting NQS
Wendouree Children's Services,WENDOUREE,3355,75,Meeting NQS
Inverleigh Kindergarten,INVERLEIGH,3321,33,Exceeding NQS
Moriac Kindergarten,MORIAC,3240,29,Exceeding NQS
Anglesea Kindergarten,ANGLESEA,3230,55,Exceeding NQS
The Jan Juc Preschool,JAN JUC,3228,79,Exceeding NQS
Beechworth Community Child Care Centre,BEECHWORTH,3747,55,Meeting NQS
Beechworth Kindergarten Inc.,BEECHWORTH,3747,30,Meeting NQS
City Learning & Care - Drysdale,DRYSDALE,3222,40,Meeting NQS
Drysdale Preschool,DRYSDALE,3222,30,Meeting NQS
Leopold Kindergarten,LEOPOLD,3224,35,Exceeding NQS
